,model,animal,accuracy
536,top_model_weights_with_3d,bear,0.655
537,top_model_weights_with_3d,bear,0.625
538,top_model_weights_with_3d,bear,0.625
539,top_model_weights_with_3d,bear,0.66
540,top_model_weights_with_3d,bear,0.605
541,top_model_weights_with_3d,bear,0.69
542,top_model_weights_with_3d,bear,0.615
543,top_model_weights_with_3d,bear,0.665
544,top_model_weights_with_3d,bear,0.615
545,top_model_weights_with_3d,bear,0.605
546,top_model_weights_with_3d,bear,0.655
547,top_model_weights_with_3d,bear,0.62
548,top_model_weights_with_3d,bear,0.615
549,top_model_weights_with_3d,bear,0.615
550,top_model_weights_with_3d,bear,0.635
551,top_model_weights_with_3d,bear,0.71
552,top_model_weights_with_3d,bear,0.725
553,top_model_weights_with_3d,bear,0.68
554,top_model_weights_with_3d,bear,0.58
555,top_model_weights_with_3d,bear,0.65
556,top_model_weights_with_3d,bear,0.605
557,top_model_weights_with_3d,bear,0.58
558,top_model_weights_with_3d,bear,0.66
559,top_model_weights_with_3d,bear,0.645
560,top_model_weights_with_3d,bear,0.715
561,top_model_weights_with_3d,bear,0.665
562,top_model_weights_with_3d,bear,0.605
563,top_model_weights_with_3d,bear,0.595
564,top_model_weights_with_3d,bear,0.705
565,top_model_weights_with_3d,bear,0.675
566,top_model_weights_with_3d,bear,0.585
567,top_model_weights_with_3d,bear,0.66
568,top_model_weights_with_3d,bear,0.65
569,top_model_weights_with_3d,bear,0.69
570,top_model_weights_with_3d,bear,0.645
571,top_model_weights_with_3d,bear,0.645
572,top_model_weights_with_3d,bear,0.65
573,top_model_weights_with_3d,bear,0.61
574,top_model_weights_with_3d,bear,0.71
575,top_model_weights_with_3d,bear,0.67
576,top_model_weights_with_3d,bear,0.675
577,top_model_weights_with_3d,bear,0.63
578,top_model_weights_with_3d,bear,0.665
579,top_model_weights_with_3d,bear,0.625
580,top_model_weights_with_3d,bear,0.62
581,top_model_weights_with_3d,bear,0.655
582,top_model_weights_with_3d,bear,0.64
583,top_model_weights_with_3d,bear,0.695
584,top_model_weights_with_3d,bear,0.66
585,top_model_weights_with_3d,bear,0.665
586,top_model_weights_with_3d,bear,0.66
587,top_model_weights_with_3d,bear,0.585
588,top_model_weights_with_3d,bear,0.645
589,top_model_weights_with_3d,bear,0.665
590,top_model_weights_with_3d,bear,0.66
591,top_model_weights_with_3d,bear,0.695
592,top_model_weights_with_3d,bear,0.665
593,top_model_weights_with_3d,bear,0.685
594,top_model_weights_with_3d,bear,0.655
595,top_model_weights_with_3d,bear,0.61
596,top_model_weights_with_3d,bear,0.675
597,top_model_weights_with_3d,bear,0.65
598,top_model_weights_with_3d,bear,0.65
599,top_model_weights_with_3d,bear,0.65
600,top_model_weights_with_3d,bear,0.63
601,top_model_weights_with_3d,bear,0.645
602,top_model_weights_with_3d,bear,0.725
603,top_model_weights_with_3d,bear,0.67
604,top_model_weights_with_3d,bear,0.64
605,top_model_weights_with_3d,bear,0.695
606,top_model_weights_with_3d,bear,0.61
607,top_model_weights_with_3d,bear,0.72
608,top_model_weights_with_3d,bear,0.62
609,top_model_weights_with_3d,bear,0.65
610,top_model_weights_with_3d,bear,0.61
611,top_model_weights_with_3d,bear,0.66
612,top_model_weights_with_3d,bear,0.7
613,top_model_weights_with_3d,bear,0.665
614,top_model_weights_with_3d,bear,0.64
615,top_model_weights_with_3d,bear,0.68
616,top_model_weights_with_3d,bear,0.735
617,top_model_weights_with_3d,bear,0.655
618,top_model_weights_with_3d,bear,0.635
619,top_model_weights_with_3d,bear,0.67
620,top_model_weights_with_3d,bear,0.665
621,top_model_weights_with_3d,bear,0.66
622,top_model_weights_with_3d,bear,0.66
623,top_model_weights_with_3d,bear,0.675
624,top_model_weights_with_3d,bear,0.65
625,top_model_weights_with_3d,bear,0.6
626,top_model_weights_with_3d,bear,0.67
627,top_model_weights_with_3d,bear,0.685
628,top_model_weights_with_3d,bear,0.68
629,top_model_weights_with_3d,bear,0.665
630,top_model_weights_with_3d,bear,0.705
631,top_model_weights_with_3d,bear,0.65
632,top_model_weights_with_3d,bear,0.595
633,top_model_weights_with_3d,bear,0.65
634,top_model_weights_with_3d,bear,0.65
635,top_model_weights_with_3d,bear,0.64
636,top_model_weights_with_3d,bear,0.66
637,top_model_weights_with_3d,bear,0.65
638,top_model_weights_with_3d,bear,0.71
639,top_model_weights_with_3d,bear,0.685
640,top_model_weights_with_3d,bear,0.685
641,top_model_weights_with_3d,bear,0.62
642,top_model_weights_with_3d,bear,0.615
643,top_model_weights_with_3d,bear,0.585
644,top_model_weights_with_3d,bear,0.635
645,top_model_weights_with_3d,bear,0.675
646,top_model_weights_with_3d,bear,0.62
647,top_model_weights_with_3d,bear,0.6
648,top_model_weights_with_3d,bear,0.645
649,top_model_weights_with_3d,bear,0.655
650,top_model_weights_with_3d,bear,0.7
651,top_model_weights_with_3d,bear,0.635
652,top_model_weights_with_3d,bear,0.585
653,top_model_weights_with_3d,bear,0.625
654,top_model_weights_with_3d,bear,0.7
655,top_model_weights_with_3d,bear,0.635
656,top_model_weights_with_3d,bear,0.655
657,top_model_weights_with_3d,bear,0.61
658,top_model_weights_with_3d,bear,0.665
659,top_model_weights_with_3d,bear,0.625
660,top_model_weights_with_3d,bear,0.69
661,top_model_weights_with_3d,bear,0.67
662,top_model_weights_with_3d,bear,0.61
663,top_model_weights_with_3d,bear,0.64
