,model,animal,accuracy
414,top_model_weights_with_3d,bear,0.705
415,top_model_weights_with_3d,bear,0.695
416,top_model_weights_with_3d,bear,0.66
417,top_model_weights_with_3d,bear,0.64
418,top_model_weights_with_3d,bear,0.6
419,top_model_weights_with_3d,bear,0.605
420,top_model_weights_with_3d,bear,0.69
421,top_model_weights_with_3d,bear,0.65
422,top_model_weights_with_3d,bear,0.64
423,top_model_weights_with_3d,bear,0.625
424,top_model_weights_with_3d,bear,0.675
425,top_model_weights_with_3d,bear,0.685
426,top_model_weights_with_3d,bear,0.675
427,top_model_weights_with_3d,bear,0.565
428,top_model_weights_with_3d,bear,0.66
429,top_model_weights_with_3d,bear,0.71
430,top_model_weights_with_3d,bear,0.63
431,top_model_weights_with_3d,bear,0.625
432,top_model_weights_with_3d,bear,0.62
433,top_model_weights_with_3d,bear,0.675
434,top_model_weights_with_3d,bear,0.61
435,top_model_weights_with_3d,bear,0.62
436,top_model_weights_with_3d,bear,0.64
437,top_model_weights_with_3d,bear,0.64
438,top_model_weights_with_3d,bear,0.65
439,top_model_weights_with_3d,bear,0.595
440,top_model_weights_with_3d,bear,0.685
441,top_model_weights_with_3d,bear,0.65
442,top_model_weights_with_3d,bear,0.59
443,top_model_weights_with_3d,bear,0.68
444,top_model_weights_with_3d,bear,0.665
445,top_model_weights_with_3d,bear,0.635
446,top_model_weights_with_3d,bear,0.62
447,top_model_weights_with_3d,bear,0.64
448,top_model_weights_with_3d,bear,0.66
449,top_model_weights_with_3d,bear,0.625
450,top_model_weights_with_3d,bear,0.575
451,top_model_weights_with_3d,bear,0.64
452,top_model_weights_with_3d,bear,0.645
453,top_model_weights_with_3d,bear,0.64
454,top_model_weights_with_3d,bear,0.615
455,top_model_weights_with_3d,bear,0.655
456,top_model_weights_with_3d,bear,0.655
457,top_model_weights_with_3d,bear,0.67
458,top_model_weights_with_3d,bear,0.61
459,top_model_weights_with_3d,bear,0.715
460,top_model_weights_with_3d,bear,0.65
